LAT, LON, Covernum, Covername, City fraction, Vegetation fraction, Inland water fraction, sea fraction
52.9244, -8.38722, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
52.9242, -8.38111, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
52.9236, -8.37417, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9244, -8.36806, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9256, -8.36278, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9256, -8.35528, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9264, -8.34917, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9283, -8.34528, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9311, -8.34194, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9353, -8.34111, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9383, -8.33833, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9411, -8.33528, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9428, -8.33056, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9444, -8.32583, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9467, -8.32194, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9508, -8.32111, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.955, -8.32139, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9592, -8.32194, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9633, -8.3225, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9664, -8.32444, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9683, -8.32917, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
52.97, -8.33417, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
52.9719, -8.33861, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9742, -8.34222, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9769, -8.34528, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9797, -8.34806, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9831, -8.35, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9867, -8.35139, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9906, -8.35278, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9942, -8.35389, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9978, -8.35528, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
53.0019, -8.35417, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
53.0042, -8.35028, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
53.0036, -8.34361, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0028, -8.33667, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0022, -8.32972, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0036, -8.32444, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0061, -8.32139, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
53.01, -8.32111, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
53.0131, -8.32333, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
53.0172, -8.32361, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
53.0189, -8.31917, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0192, -8.31194, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0178, -8.30694, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0158, -8.3025, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0161, -8.29556, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0189, -8.29222, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0219, -8.28972, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
53.0247, -8.28667, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0269, -8.28278, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0308, -8.28167, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0342, -8.28222, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0369, -8.285, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0389, -8.28944, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
53.0414, -8.29306, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
53.0442, -8.29611, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
53.0483, -8.29667, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
53.0522, -8.29722, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
53.0564, -8.29611, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
53.0611, -8.29556, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0642, -8.29306, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0664, -8.28917, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0681, -8.28472, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0697, -8.27972, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0706, -8.27361, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0719, -8.26833, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0722, -8.26139, 329, N SPAIN HERBAC MF1, 0.0, 1.0, 0.0, 0.0
53.0706, -8.25639, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0683, -8.25278, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0667, -8.24722, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0686, -8.24278, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0703, -8.23806, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0719, -8.23333, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.07, -8.22861, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0694, -8.22194, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0703, -8.21722, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0739, -8.21556, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
53.0783, -8.21528, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
